Symbol	Description
00411.HK	Lam Soon (Hong Kong) Ltd
00412.HK	China Innovative Finance Group Limited
00413.HK	South China Industries Ltd
00416.HK	Bank of Jinzhou
00417.HK	Tse Sui Luen Jewellery (International) Ltd
00418.HK	Founder Holdings Ltd
00419.HK	Jiuhao Health
00420.HK	Fountain Set (Holdings) Ltd
00422.HK	Vietnam Manufacturing and Export Processing Ltd
00423.HK	Hong Kong Economic Times Holdings Ltd
00425.HK	Minth Group Ltd
00426.HK	One Media Group Ltd
00428.HK	Harmony Asset Limited
00430.HK	Oriental Explorer Holdings Ltd
00431.HK	Greater China Holdings Ltd
00432.HK	Pacific Century Premium Developments Ltd
00433.HK	Sun Man Tai Holdings Co. Ltd
00434.HK	Boyaa
00435.HK	Sunlight Real Estate Investment Trust
00436.HK	
00438.HK	IRICO Group Electronics Co. Ltd
00439.HK	Climax International Co. Ltd
00440.HK	Dah Sing Financial Holdings Ltd
00442.HK	KTL International
00444.HK	Sincere Watch (Hong Kong) Ltd
00445.HK	China Fire Safety Enterprise Group Holdings Ltd
00449.HK	Chigo Holding Ltd
00450.HK	Hung Hing Printing Group Ltd
00451.HK	Same Time Holdings Ltd
00455.HK	Yunnan Enterprises Holdings Ltd
00456.HK	New Rank City Development
00458.HK	Tristate Holdings Ltd
00459.HK	Midland ICI Ltd
00460.HK	Sihuan Pharmaceutical Holdings Group Ltd
00462.HK	Linfair Holdings Ltd
00464.HK	Kenford Group Holdings Ltd
00465.HK	Ford Motor Credit Co. 7.2% Notes 2007
00467.HK	United Energy
00468.HK	
00469.HK	General Motors Acceptance Corp 1000n0207
00471.HK	Global Flex Holdings Ltd
00472.HK	MACRO-LINK International Holdings Ltd
00474.HK	Winbox International (Holdings) Ltd
00475.HK	Noble Jewelry Holdings Ltd
00476.HK	China Elegance (Holdings) Ltd
00479.HK	Cil Holdings
00480.HK	HKR International Ltd
00482.HK	Sandmartin International Holdings Ltd
00483.HK	Bauhaus International (Holdings) Ltd
00484.HK	
00485.HK	Starlight International Holdings Ltd
00486.HK	RUSAL
00487.HK	Macau Success Ltd
00488.HK	Lai Sun Development Co. Ltd
00489.HK	Dongfeng Motor Group Co. Ltd
00491.HK	See Corporation Ltd
00493.HK	GOME Electrical Appliances Holding Ltd
00494.HK	Li & Fung Ltd
00495.HK	Paladin Ltd
00496.HK	Kasen International Holdings Ltd
00497.HK	Capital Strategic Investment Ltd
00498.HK	PYI Corporation Ltd
00499.HK	HyComm Wireless Ltd
00500.HK	DVN (Holdings) Ltd
00503.HK	China Paradise Electronics Retail Ltd
00505.HK	Xingye Copper International Group Ltd
00506.HK	China Foods
00508.HK	Chevalier iTech Holdings Ltd
00509.HK	Lg China Fund
00510.HK	Cash Financial Services Ltd
00511.HK	Television Broadcasts Ltd
00512.HK	MAXX Bioscience Holdings Ltd
00513.HK	Continental Holdings Ltd
00515.HK	TC Interconnect Holdings Ltd
00517.HK	COSCO International Holdings Ltd
00518.HK	Tungtex (Holdings) Co. Ltd
00519.HK	Applied International Holdings Ltd
00520.HK	
00521.HK	Shougang Concord Technology Holdings Ltd
00522.HK	ASM Pacific Technology Ltd
00524.HK	e-Kong Group Ltd
00525.HK	Guangshen Railway Co. Ltd
00526.HK	Magician Industries (Holdings) Ltd
00527.HK	Galaxy Semi-Conductor Holdings Ltd
